date,月份,星期,淡旺季,LeadTime,QAIndex,AI啟動,龍華一廠,龍華二廠,龍華三廠,LCM廠,觀瀾廠,模具部,製工部,製程部,QA部,AI部,總經理室,財務部,管理部,業務一部,業務二部,深圳總產能下之總費用,CapaUtilization
2019/9/10,9,2,淡季,急單,綠,ON,"811,672.000","3,294,057.000","9,646,502.000","21,622,317.000","1,503,855.000","14,817.000","2,706.000","43,763.000","61,907.000","7,376.000","2,192.000","19,245.000","48,669.000","78,290.000","48,937.000","50,000,000.000",73.76%
2019/9/11,9,3,淡季,急單,綠,ON,"710,174.000","2,521,738.000","11,521,519.000","23,128,138.000","1,195,666.000","20,627.000","4,859.000","37,178.000","81,271.000","7,034.000","4,001.000","25,592.000","49,447.000","71,136.000","48,521.000","50,000,000.000",78.15%
2019/9/12,9,4,淡季,急單,紅,ON,"599,912.000","1,799,470.000","11,021,190.000","26,084,904.000","899,779.000","25,542.000","16,548.000","40,542.000","53,244.000","11,046.000","2,357.000","24,605.000","49,887.000","18,010.000","42,555.000","50,000,000.000",80.81%
2019/9/13,9,5,淡季,急單,紅,ON,"706,367.000","2,494,775.000","10,926,781.000","24,830,033.000","1,184,775.000","41,433.000","27,306.000","59,318.000","84,285.000","17,090.000","2,720.000","25,352.000","44,608.000","46,519.000","46,676.000","50,000,000.000",80.29%
2019/9/14,9,6,旺季,急單,綠,ON,"580,631.000","1,685,661.000","10,644,939.000","25,538,876.000","852,202.000","22,598.000","6,224.000","28,887.000","84,981.000","6,200.000","2,401.000","39,953.000","48,826.000","28,997.000","44,624.000","50,000,000.000",78.6%
2019/9/15,9,7,旺季,急單,綠,ON,"628,065.000","1,972,329.000","10,344,576.000","23,950,960.000","971,476.000","19,545.000","5,120.000","31,124.000","74,686.000","6,204.000","3,625.000","52,047.000","46,593.000","43,288.000","46,364.000","50,000,000.000",75.73%
2019/9/16,9,1,旺季,急單,綠,OFF,"599,810.000","1,798,857.000","10,301,320.000","24,988,075.000","899,524.000","12,751.000","3,078.000","27,064.000","49,906.000","4,983.000","4,371.000","20,471.000","45,566.000","30,999.000","44,914.000","50,000,000.000",77.18%
2019/9/17,9,2,旺季,急單,綠,OFF,"702,751.000","2,469,293.000","12,246,111.000","25,637,272.000","1,174,473.000","9,979.000","2,742.000","34,462.000","37,556.000","5,992.000","3,388.000","20,534.000","45,455.000","12,383.000","40,928.000","50,000,000.000",84.46%
2019/9/18,9,3,旺季,急單,綠,ON,"782,053.000","3,058,033.000","11,015,617.000","23,999,148.000","1,410,371.000","25,410.000","5,976.000","44,377.000","100,156.000","8,449.000","3,042.000","24,251.000","49,222.000","44,703.000","46,503.000","50,000,000.000",80.53%
2019/9/19,9,4,旺季,急單,綠,ON,"806,914.000","3,255,553.000","10,683,066.000","25,539,618.000","1,488,641.000","18,465.000","2,664.000","43,289.000","80,339.000","7,293.000","3,461.000","21,087.000","45,798.000","15,363.000","41,865.000","50,000,000.000",83.55%
2019/9/20,9,5,旺季,急單,綠,ON,"671,150.000","2,252,212.000","10,534,627.000","25,213,826.000","1,086,312.000","22,262.000","3,631.000","32,864.000","94,971.000","6,019.000","3,146.000","32,553.000","46,673.000","40,484.000","46,073.000","50,000,000.000",79.52%
2019/9/21,9,6,旺季,急單,綠,ON,"840,070.000","3,528,585.000","10,789,646.000","23,903,087.000","1,596,230.000","16,291.000","2,708.000","46,395.000","69,267.000","7,772.000","1,398.000","19,198.000","47,682.000","17,184.000","42,351.000","50,000,000.000",81.32%
2019/9/22,9,7,旺季,急單,紅,ON,"681,058.000","2,319,199.000","10,027,601.000","23,647,786.000","1,113,595.000","24,780.000","11,013.000","41,016.000","74,338.000","9,456.000","3,057.000","25,758.000","76,643.000","51,448.000","47,114.000","50,000,000.000",75.58%
2019/9/23,9,1,旺季,急單,綠,OFF,"655,087.000","2,145,697.000","11,243,775.000","27,311,730.000","1,042,776.000","16,960.000","2,797.000","30,804.000","72,217.000","5,460.000","3,143.000","20,273.000","74,792.000","43,567.000","46,392.000","50,000,000.000",84.8%
2019/9/24,9,2,旺季,急單,綠,ON,"885,842.000","3,923,581.000","10,699,767.000","25,606,944.000","1,750,781.000","19,972.000","6,096.000","54,190.000","72,431.000","9,957.000","2,700.000","25,350.000","74,059.000","43,021.000","46,337.000","50,000,000.000",85.73%
2019/9/25,9,3,旺季,急單,綠,ON,"947,436.000","4,488,173.000","10,292,645.000","24,550,576.000","1,969,776.000","18,273.000","2,717.000","57,073.000","79,135.000","9,376.000","3,717.000","21,959.000","72,061.000","44,188.000","46,453.000","50,000,000.000",84.5%
2019/9/26,9,4,旺季,急單,綠,ON,"845,168.000","3,571,541.000","11,081,427.000","25,741,128.000","1,613,097.000","17,519.000","3,703.000","47,871.000","70,930.000","8,292.000","2,565.000","25,468.000","69,702.000","39,917.000","46,012.000","50,000,000.000",85.7%
2019/9/27,9,5,旺季,急單,綠,ON,"824,966.000","3,402,842.000","10,785,484.000","27,263,322.000","1,546,764.000","16,270.000","2,763.000","45,041.000","68,919.000","7,585.000","3,470.000","23,381.000","72,208.000","40,865.000","46,113.000","50,000,000.000",87.65%
2019/9/28,9,6,旺季,急單,綠,ON,"760,923.000","2,895,020.000","10,317,054.000","22,794,387.000","1,345,468.000","18,023.000","2,760.000","39,319.000","77,693.000","6,726.000","2,317.000","27,934.000","70,967.000","40,200.000","46,042.000","50,000,000.000",76.23%
2019/9/29,9,7,旺季,急單,綠,ON,"655,043.000","2,145,407.000","11,238,194.000","23,912,946.000","1,042,657.000","20,036.000","4,956.000","32,961.000","77,876.000","6,431.000","3,449.000","34,331.000","71,348.000","37,737.000","45,768.000","50,000,000.000",77.99%
2019/9/30,9,1,旺季,急單,紅,ON,"653,140.000","2,132,957.000","10,774,159.000","26,407,140.000","1,037,555.000","30,991.000","16,879.000","44,740.000","78,999.000","11,775.000","3,043.000","28,343.000","85,993.000","32,639.000","45,137.000","50,000,000.000",82.01%
2019/10/1,10,2,旺季,急單,紅,ON,"643,499.000","2,070,456.000","10,446,282.000","25,445,076.000","1,011,902.000","39,548.000","27,852.000","54,992.000","72,404.000","16,605.000","3,244.000","32,645.000","84,311.000","26,947.000","44,305.000","50,000,000.000",79.23%
2019/10/2,10,3,旺季,急單,綠,ON,"604,348.000","1,826,183.000","11,150,176.000","26,273,831.000","910,902.000","20,892.000","6,349.000","30,654.000","75,893.000","6,503.000","3,271.000","28,225.000","84,342.000","39,326.000","45,947.000","50,000,000.000",81.53%
2019/10/3,10,4,旺季,急單,綠,ON,"613,937.000","1,884,595.000","10,727,018.000","24,279,625.000","935,167.000","19,546.000","5,222.000","30,207.000","74,229.000","6,098.000","3,491.000","31,223.000","82,663.000","26,357.000","44,209.000","50,000,000.000",76.88%
2019/10/4,10,5,旺季,急單,紅,ON,"725,004.000","2,628,153.000","9,237,756.000","22,577,424.000","1,238,553.000","25,652.000","10,463.000","43,994.000","81,180.000","9,738.000","3,220.000","20,209.000","53,967.000","70,223.000","48,465.000","50,000,000.000",72.81%
2019/10/5,10,6,旺季,急單,綠,OFF,"539,728.000","1,456,529.000","11,200,757.000","26,886,097.000","755,373.000","15,102.000","2,657.000","22,619.000","63,555.000","4,190.000","2,249.000","20,271.000","53,626.000","39,671.000","45,985.000","50,000,000.000",81.68%
2019/10/6,10,7,旺季,急單,綠,ON,"676,776.000","2,290,131.000","10,228,096.000","24,768,884.000","1,101,765.000","15,050.000","5,791.000","35,460.000","49,189.000","7,056.000","2,727.000","23,940.000","52,424.000","45,922.000","46,620.000","50,000,000.000",78.13%
2019/10/7,10,1,旺季,急單,綠,ON,"968,241.000","4,687,458.000","9,778,437.000","23,641,938.000","2,046,607.000","4,836.000","2,582.000","59,139.000","12,561.000","9,645.000","3,416.000","20,816.000","48,153.000","28,625.000","44,567.000","50,000,000.000",82.25%
2019/10/8,10,2,旺季,急單,綠,ON,"791,157.000","3,129,643.000","10,325,704.000","25,154,455.000","1,438,793.000","15,221.000","3,518.000","42,726.000","60,273.000","7,464.000","3,105.000","32,135.000","44,988.000","42,733.000","46,308.000","50,000,000.000",81.68%
2019/10/9,10,3,旺季,急單,綠,ON,"778,328.000","3,028,973.000","10,618,354.000","26,883,062.000","1,398,822.000","20,450.000","2,624.000","40,697.000","90,440.000","6,892.000","3,641.000","18,952.000","49,152.000","30,602.000","44,857.000","50,000,000.000",85.42%
2019/10/10,10,4,旺季,急單,綠,ON,"753,642.000","2,839,878.000","9,522,707.000","21,387,059.000","1,323,447.000","14,558.000","2,622.000","38,557.000","60,992.000","6,570.000","2,164.000","18,998.000","48,044.000","77,285.000","48,881.000","50,000,000.000",71.65%
2019/10/11,10,5,旺季,急單,綠,ON,"659,400.000","2,174,045.000","11,373,662.000","22,876,497.000","1,054,382.000","20,251.000","4,708.000","33,043.000","80,070.000","6,369.000","3,950.000","25,264.000","48,813.000","70,223.000","48,465.000","50,000,000.000",76.28%
2019/10/12,10,6,旺季,急單,紅,ON,"557,021.000","1,551,362.000","10,879,753.000","25,801,092.000","795,631.000","24,923.000","16,035.000","37,119.000","52,457.000","10,378.000","2,327.000","24,289.000","49,247.000","17,778.000","42,499.000","50,000,000.000",79.17%
2019/10/13,10,7,旺季,急單,紅,ON,"655,866.000","2,150,800.000","10,786,555.000","24,559,875.000","1,044,866.000","40,422.000","26,460.000","54,526.000","83,040.000","16,117.000","2,685.000","25,027.000","44,036.000","45,922.000","46,620.000","50,000,000.000",78.4%
2019/10/14,10,1,旺季,急單,綠,OFF,"539,119.000","1,453,245.000","10,508,331.000","25,261,005.000","753,974.000","22,173.000","6,031.000","25,955.000","83,725.000","5,703.000","2,370.000","39,440.000","48,200.000","28,625.000","44,567.000","50,000,000.000",77.03%
2019/10/15,10,2,旺季,急單,綠,OFF,"583,162.000","1,700,388.000","10,211,823.000","23,690,366.000","858,377.000","19,181.000","4,961.000","27,796.000","73,583.000","5,658.000","3,578.000","51,380.000","45,995.000","42,733.000","46,308.000","50,000,000.000",74.09%
2019/10/16,10,3,旺季,急單,綠,OFF,"556,926.000","1,550,834.000","10,169,121.000","24,716,197.000","795,408.000","12,518.000","2,982.000","24,060.000","49,168.000","4,504.000","4,315.000","20,209.000","44,982.000","30,602.000","44,857.000","50,000,000.000",75.58%
2019/10/17,10,4,旺季,急單,綠,OFF,"652,508.000","2,128,831.000","12,088,954.000","25,358,330.000","1,035,864.000","9,791.000","2,657.000","30,470.000","37,001.000","5,368.000","3,344.000","20,271.000","44,872.000","12,224.000","40,872.000","50,000,000.000",82.53%
2019/10/18,10,5,旺季,急單,綠,ON,"726,140.000","2,636,397.000","10,874,251.000","23,738,030.000","1,241,869.000","24,947.000","5,791.000","39,416.000","98,676.000","7,650.000","3,003.000","23,940.000","48,590.000","44,130.000","46,447.000","50,000,000.000",78.43%
2019/10/19,10,6,旺季,急單,綠,ON,"749,224.000","2,806,683.000","10,545,968.000","25,261,739.000","1,310,173.000","18,154.000","2,582.000","38,141.000","79,151.000","6,496.000","3,416.000","20,816.000","45,210.000","15,165.000","41,809.000","50,000,000.000",81.35%
2019/10/20,10,7,旺季,急單,綠,OFF,"623,166.000","1,941,681.000","10,399,434.000","24,939,491.000","958,810.000","21,880.000","3,518.000","29,167.000","93,568.000","5,430.000","3,105.000","32,135.000","46,074.000","39,964.000","46,017.000","50,000,000.000",77.73%
2019/10/21,10,1,旺季,急單,綠,ON,"780,009.000","3,042,070.000","10,651,181.000","23,643,014.000","1,404,028.000","16,011.000","2,624.000","40,845.000","68,243.000","6,914.000","1,380.000","18,952.000","47,070.000","16,964.000","42,295.000","50,000,000.000",79.04%
2019/10/22,10,2,旺季,急單,紅,ON,"632,366.000","1,999,432.000","9,898,915.000","23,390,490.000","982,660.000","24,253.000","10,672.000","36,990.000","73,240.000","8,750.000","3,018.000","25,428.000","75,660.000","50,788.000","47,058.000","50,000,000.000",73.81%
2019/10/23,10,3,旺季,急單,綠,OFF,"608,252.000","1,849,852.000","11,099,482.000","27,014,570.000","920,743.000","16,669.000","2,710.000","27,291.000","71,150.000","4,907.000","3,102.000","20,013.000","73,833.000","43,008.000","46,336.000","50,000,000.000",82.99%
2019/10/24,10,4,旺季,急單,綠,ON,"822,509.000","3,382,605.000","10,562,455.000","25,328,333.000","1,538,789.000","19,588.000","5,907.000","47,958.000","71,361.000","8,966.000","2,666.000","25,024.000","73,109.000","42,469.000","46,281.000","50,000,000.000",83.27%
2019/10/25,10,5,旺季,急單,綠,ON,"879,699.000","3,869,352.000","10,160,558.000","24,283,458.000","1,729,633.000","17,963.000","2,633.000","50,124.000","77,966.000","8,308.000","3,669.000","21,677.000","71,136.000","43,621.000","46,397.000","50,000,000.000",81.85%
2019/10/26,10,6,旺季,急單,綠,ON,"784,742.000","3,079,103.000","10,939,217.000","25,461,056.000","1,418,739.000","17,206.000","3,589.000","42,227.000","69,881.000","7,411.000","2,532.000","25,141.000","68,807.000","39,405.000","45,955.000","50,000,000.000",83.37%
2019/10/27,10,7,旺季,急單,綠,ON,"765,985.000","2,933,664.000","10,647,072.000","26,966,689.000","1,360,880.000","15,989.000","2,677.000","39,673.000","67,900.000","6,754.000","3,425.000","23,081.000","71,281.000","40,340.000","46,057.000","50,000,000.000",85.35%
2019/10/28,10,1,旺季,急單,綠,ON,"706,521.000","2,495,860.000","10,184,653.000","22,546,377.000","1,185,214.000","17,716.000","2,674.000","34,698.000","76,545.000","6,007.000","2,287.000","27,576.000","70,057.000","39,684.000","45,986.000","50,000,000.000",74.24%
2019/10/29,10,2,旺季,急單,綠,OFF,"608,211.000","1,849,602.000","11,093,972.000","23,652,765.000","920,639.000","19,667.000","4,803.000","29,381.000","76,725.000","5,848.000","3,404.000","33,890.000","70,432.000","37,253.000","45,712.000","50,000,000.000",76.25%
2019/10/30,10,3,旺季,急單,紅,ON,"606,443.000","1,838,868.000","10,635,893.000","26,119,822.000","916,178.000","30,286.000","16,356.000","40,809.000","77,831.000","11,028.000","3,004.000","27,979.000","84,889.000","32,220.000","45,081.000","50,000,000.000",80.23%
2019/10/31,10,4,旺季,急單,紅,ON,"597,492.000","1,784,985.000","10,312,224.000","25,168,226.000","893,741.000","38,557.000","26,989.000","50,814.000","71,334.000","15,719.000","3,203.000","32,226.000","83,229.000","26,601.000","44,249.000","50,000,000.000",77.51%
2019/11/1,11,5,旺季,急單,綠,OFF,"561,140.000","1,574,392.000","11,007,084.000","25,987,964.000","805,367.000","20,491.000","6,152.000","27,507.000","74,771.000","5,972.000","3,229.000","27,863.000","83,260.000","38,822.000","45,891.000","50,000,000.000",79.87%
2019/11/2,11,6,旺季,急單,綠,OFF,"570,044.000","1,624,751.000","10,589,356.000","24,015,455.000","826,605.000","19,180.000","5,060.000","27,008.000","73,132.000","5,569.000","3,446.000","30,822.000","81,603.000","26,019.000","44,153.000","50,000,000.000",75.25%
2019/11/3,11,7,旺季,急單,紅,ON,"673,170.000","2,265,788.000","9,119,206.000","22,331,774.000","1,091,847.000","25,120.000","10,138.000","39,528.000","79,980.000","8,971.000","3,179.000","19,949.000","53,275.000","69,321.000","48,409.000","50,000,000.000",70.96%
2019/11/4,11,1,旺季,急單,綠,OFF,"501,140.000","1,255,705.000","11,057,015.000","26,593,567.000","669,138.000","14,840.000","2,574.000","20,143.000","62,616.000","3,794.000","2,221.000","20,011.000","52,938.000","39,162.000","45,929.000","50,000,000.000",80.15%
2019/11/5,11,2,旺季,急單,綠,ON,"628,390.000","1,974,372.000","10,096,837.000","24,499,391.000","972,319.000","14,743.000","5,611.000","31,639.000","48,462.000","6,429.000","2,692.000","23,633.000","51,751.000","45,332.000","46,564.000","50,000,000.000",76.34%
2019/11/6,11,3,旺季,急單,綠,ON,"899,017.000","4,041,159.000","9,652,948.000","23,384,706.000","1,796,562.000","4,726.000","2,501.000","51,903.000","12,375.000","8,536.000","3,372.000","20,549.000","47,535.000","28,258.000","44,511.000","50,000,000.000",79.55%
2019/11/7,11,4,旺季,急單,綠,ON,"734,593.000","2,698,134.000","10,193,193.000","24,880,766.000","1,266,674.000","14,945.000","3,409.000","37,736.000","59,382.000","6,683.000","3,066.000","31,722.000","44,411.000","42,184.000","46,251.000","50,000,000.000",79.55%
2019/11/8,11,5,旺季,急單,綠,ON,"722,682.000","2,611,344.000","10,482,087.000","26,590,566.000","1,231,789.000","20,109.000","2,543.000","35,883.000","89,103.000","6,145.000","3,594.000","18,709.000","48,521.000","30,209.000","44,801.000","50,000,000.000",83.28%
2019/11/9,11,6,旺季,急單,綠,OFF,"699,760.000","2,448,321.000","9,400,500.000","21,154,361.000","1,165,987.000","14,305.000","2,541.000","34,021.000","60,091.000","5,865.000","2,136.000","18,754.000","47,428.000","76,294.000","48,825.000","50,000,000.000",69.74%
