,country,continent,year,lifeExp,pop,gdpPercap
89,Albania阿爾巴尼亞,Europe,1956,58.47,1544614,1874
91,Albania阿爾巴尼亞,Europe,1958,60.39,1526831,2016
93,Albania阿爾巴尼亞,Europe,1960,62.6,1627484,2165
95,Albania阿爾巴尼亞,Europe,1962,64.82,1728137,2313
97,Albania阿爾巴尼亞,Europe,1964,65.38,1830506,2492
99,Albania阿爾巴尼亞,Europe,1966,65.94,1932875,2671
101,Albania阿爾巴尼亞,Europe,1968,66.51,2039959,2871
103,Albania阿爾巴尼亞,Europe,1970,67.1,2151756,3092
105,Albania阿爾巴尼亞,Europe,1972,67.69,2263554,3313
107,Albania阿爾巴尼亞,Europe,1974,68.19,2361752,3401
109,Albania阿爾巴尼亞,Europe,1976,68.68,2459949,3489
111,Albania阿爾巴尼亞,Europe,1978,69.23,2563258,3553
113,Albania阿爾巴尼亞,Europe,1980,69.82,2671677,3592
115,Albania阿爾巴尼亞,Europe,1982,70.42,2780097,3631
117,Albania阿爾巴尼亞,Europe,1984,71.05,2898187,3674
119,Albania阿爾巴尼亞,Europe,1986,71.68,3016276,3717
121,Albania阿爾巴尼亞,Europe,1988,71.92,3125556,3491
123,Albania阿爾巴尼亞,Europe,1990,71.75,3226027,2994
125,Albania阿爾巴尼亞,Europe,1992,71.58,3326498,2497
127,Albania阿爾巴尼亞,Europe,1994,72.13,3367114,2776
129,Albania阿爾巴尼亞,Europe,1996,72.68,3407730,3054
131,Albania阿爾巴尼亞,Europe,1998,73.49,3444133,3475
133,Albania阿爾巴尼亞,Europe,2000,74.57,3476322,4040
135,Albania阿爾巴尼亞,Europe,2002,75.65,3508512,4604
137,Albania阿爾巴尼亞,Europe,2004,75.96,3545316,5137
139,Albania阿爾巴尼亞,Europe,2006,76.27,3582121,5670
141,Albania阿爾巴尼亞,Europe,2008,74.95,3383023,5876
143,Albania阿爾巴尼亞,Europe,2010,75.28,2948023,5755
145,Albania阿爾巴尼亞,Europe,2012,75.6,2925019,5634
147,Albania阿爾巴尼亞,Europe,2014,75.91,2902015,5513
149,Albania阿爾巴尼亞,Europe,2016,76.22,2887970,5391
151,Albania阿爾巴尼亞,Europe,2018,76.52,2882883,5270
153,Albania阿爾巴尼亞,Europe,2020,76.82,2877797,4700
155,Albania阿爾巴尼亞,Europe,2022,77.11,2859632,5500
157,Albania阿爾巴尼亞,Europe,2024,77.41,2841468,6100
159,Albania阿爾巴尼亞,Europe,2026,77.7,2823303,6700
161,Albania阿爾巴尼亞,Europe,2028,78.0,2805139,7300
163,Albania阿爾巴尼亞,Europe,2030,78.3,2786974,7900
165,Albania阿爾巴尼亞,Europe,2032,78.59,2768809,8500
166,Algeria阿爾吉利亞,Africa,1950,42.03,8988260,2223
168,Algeria阿爾吉利亞,Africa,1952,43.08,9279525,2449
170,Algeria阿爾吉利亞,Africa,1954,44.12,9623424,2675
172,Algeria阿爾吉利亞,Africa,1956,45.16,10019956,2901
174,Algeria阿爾吉利亞,Africa,1958,46.21,10416874,2921
176,Algeria阿爾吉利亞,Africa,1960,47.26,10708911,2736
178,Algeria阿爾吉利亞,Africa,1962,48.3,11000948,2551
180,Algeria阿爾吉利亞,Africa,1964,49.54,11704768,2829
182,Algeria阿爾吉利亞,Africa,1966,50.79,12408589,3108
184,Algeria阿爾吉利亞,Africa,1968,52.03,13160557,3434
186,Algeria阿爾吉利亞,Africa,1970,53.27,13960672,3808
188,Algeria阿爾吉利亞,Africa,1972,54.52,14760787,4183
190,Algeria阿爾吉利亞,Africa,1974,55.92,15717594,4474
192,Algeria阿爾吉利亞,Africa,1976,57.31,16674401,4765
194,Algeria阿爾吉利亞,Africa,1978,58.68,17728994,5077
196,Algeria阿爾吉利亞,Africa,1980,60.03,18881373,5411
198,Algeria阿爾吉利亞,Africa,1982,61.37,20033753,5745
200,Algeria阿爾吉利亞,Africa,1984,63.14,21322234,5720
202,Algeria阿爾吉利亞,Africa,1986,64.91,22610715,5694
204,Algeria阿爾吉利亞,Africa,1988,66.19,23863639,5550
206,Algeria阿爾吉利亞,Africa,1990,66.97,25081006,5286
208,Algeria阿爾吉利亞,Africa,1992,67.74,26298373,5023
210,Algeria阿爾吉利亞,Africa,1994,68.31,27407830,4933
212,Algeria阿爾吉利亞,Africa,1996,68.87,28517287,4842
214,Algeria阿爾吉利亞,Africa,1998,69.52,29515040,4895
216,Algeria阿爾吉利亞,Africa,2000,70.26,30401091,5092
218,Algeria阿爾吉利亞,Africa,2002,70.99,31287142,5288
220,Algeria阿爾吉利亞,Africa,2004,71.52,32105572,5662
222,Algeria阿爾吉利亞,Africa,2006,72.04,32924001,6036
224,Algeria阿爾吉利亞,Africa,2008,73.47,34214629,6097
226,Algeria阿爾吉利亞,Africa,2010,74.94,35977455,5845
228,Algeria阿爾吉利亞,Africa,2012,75.44,37477683,5593
230,Algeria阿爾吉利亞,Africa,2014,75.88,38977911,5341
232,Algeria阿爾吉利亞,Africa,2016,76.3,40552629,5089
234,Algeria阿爾吉利亞,Africa,2018,76.69,42201836,4837
236,Algeria阿爾吉利亞,Africa,2020,77.08,43851044,4575
238,Algeria阿爾吉利亞,Africa,2022,77.47,45152985,4700
240,Algeria阿爾吉利亞,Africa,2024,77.86,46454926,4900
242,Algeria阿爾吉利亞,Africa,2026,78.25,47756867,5100
244,Algeria阿爾吉利亞,Africa,2028,78.63,49058808,5300
246,Algeria阿爾吉利亞,Africa,2030,79.02,50360749,5500
248,Algeria阿爾吉利亞,Africa,2032,79.41,51662690,5700
249,Angola安哥拉,Africa,1950,29.22,3940830,3398
251,Angola安哥拉,Africa,1952,30.02,4232095,3521
253,Angola安哥拉,Africa,1954,30.81,4443581,3644
255,Angola安哥拉,Africa,1956,31.6,4575287,3766
257,Angola安哥拉,Africa,1958,32.4,4614292,3916
259,Angola安哥拉,Africa,1960,33.2,4720153,4093
261,Angola安哥拉,Africa,1962,34.0,4826015,4269
263,Angola安哥拉,Africa,1964,34.79,4994597,4771
265,Angola安哥拉,Africa,1966,35.59,5163178,5272
267,Angola安哥拉,Africa,1968,36.37,5376947,5513
269,Angola安哥拉,Africa,1970,37.15,5635902,5493
271,Angola安哥拉,Africa,1972,37.93,5894858,5473
273,Angola安哥拉,Africa,1974,38.55,6001985,4487
275,Angola安哥拉,Africa,1976,39.17,6109112,3502
277,Angola安哥拉,Africa,1978,39.57,6333417,2958
279,Angola安哥拉,Africa,1980,39.76,6674900,2858
281,Angola安哥拉,Africa,1982,39.94,7016384,2757
283,Angola安哥拉,Africa,1984,39.93,7359522,2626
285,Angola安哥拉,Africa,1986,39.91,7702661,2496
287,Angola安哥拉,Africa,1988,40.05,8046582,2470
289,Angola安哥拉,Africa,1990,40.35,8391285,2549
291,Angola安哥拉,Africa,1992,40.65,8735988,2628
293,Angola安哥拉,Africa,1994,40.77,9191602,2488
295,Angola安哥拉,Africa,1996,40.9,9647217,2347
297,Angola安哥拉,Africa,1998,40.97,10073240,2376
299,Angola安哥拉,Africa,2000,40.99,10469673,2575
301,Angola安哥拉,Africa,2002,41.0,10866106,2773
303,Angola安哥拉,Africa,2004,41.69,11487854,3583
305,Angola安哥拉,Africa,2006,42.39,12109602,4392
307,Angola安哥拉,Africa,2008,53.24,16065733,4656
309,Angola安哥拉,Africa,2010,55.35,23356246,4374
311,Angola安哥拉,Africa,2012,57.24,25167500,4092
313,Angola安哥拉,Africa,2014,58.78,26978754,3809
315,Angola安哥拉,Africa,2016,59.93,28880759,3527
317,Angola安哥拉,Africa,2018,60.78,30873516,3245
319,Angola安哥拉,Africa,2020,61.59,32866272,2980
321,Angola安哥拉,Africa,2022,62.39,35259960,3100
323,Angola安哥拉,Africa,2024,63.2,37653648,3500
325,Angola安哥拉,Africa,2026,64.01,40047336,3900
327,Angola安哥拉,Africa,2028,64.81,42441024,4300
329,Angola安哥拉,Africa,2030,65.62,44834712,4700
331,Angola安哥拉,Africa,2032,66.42,47228400,5100
332,Argentina阿根廷,Americas,1950,61.72,17585691,5533
334,Argentina阿根廷,Americas,1952,62.49,17876956,5911
336,Argentina阿根廷,Americas,1954,63.25,18369305,6290
338,Argentina阿根廷,Americas,1956,64.02,19062738,6668
340,Argentina阿根廷,Americas,1958,64.55,19945187,6912
342,Argentina阿根廷,Americas,1960,64.84,20614485,7023
344,Argentina阿根廷,Americas,1962,65.14,21283783,7133
346,Argentina阿根廷,Americas,1964,65.34,21943960,7501
348,Argentina阿根廷,Americas,1966,65.54,22604137,7869
350,Argentina阿根廷,Americas,1968,65.92,23303340,8331
352,Argentina阿根廷,Americas,1970,66.49,24041569,8887
354,Argentina阿根廷,Americas,1972,67.07,24779799,9443
356,Argentina阿根廷,Americas,1974,67.63,25661411,9697
358,Argentina阿根廷,Americas,1976,68.2,26543022,9952
360,Argentina阿根廷,Americas,1978,68.77,27455337,9863
362,Argentina阿根廷,Americas,1980,69.36,28398356,9430
364,Argentina阿根廷,Americas,1982,69.94,29341374,8998
366,Argentina阿根廷,Americas,1984,70.27,30253192,9055
368,Argentina阿根廷,Americas,1986,70.61,31165009,9111
370,Argentina阿根廷,Americas,1988,70.99,32088524,9173
372,Argentina阿根廷,Americas,1990,71.43,33023735,9241
374,Argentina阿根廷,Americas,1992,71.87,33958947,9308
376,Argentina阿根廷,Americas,1994,72.43,34856753,9972
378,Argentina阿根廷,Americas,1996,72.99,35754560,10636
380,Argentina阿根廷,Americas,1998,73.49,36628995,10533
382,Argentina阿根廷,Americas,2000,73.91,37480058,9665
384,Argentina阿根廷,Americas,2002,74.34,38331121,8798
386,Argentina阿根廷,Americas,2004,74.73,39119443,10390
388,Argentina阿根廷,Americas,2006,75.12,39907766,11983
390,Argentina阿根廷,Americas,2008,74.95,40499869,12525
392,Argentina阿根廷,Americas,2010,75.28,40895752,12017
394,Argentina阿根廷,Americas,2012,75.6,41767618,11508
396,Argentina阿根廷,Americas,2014,75.91,42639483,11000
398,Argentina阿根廷,Americas,2016,76.22,43499488,10492
400,Argentina阿根廷,Americas,2018,76.52,44347631,9983
402,Argentina阿根廷,Americas,2020,76.82,45195774,8854
404,Argentina阿根廷,Americas,2022,77.11,45967852,9500
406,Argentina阿根廷,Americas,2024,77.41,46739929,10100
408,Argentina阿根廷,Americas,2026,77.7,47512007,10700
410,Argentina阿根廷,Americas,2028,78.0,48284084,11300
412,Argentina阿根廷,Americas,2030,78.3,49056162,11900
414,Argentina阿根廷,Americas,2032,78.59,49828240,12500
415,Australia澳洲,Oceania,1950,68.64,8399947,9676
417,Australia澳洲,Oceania,1952,69.12,8691212,10040
419,Australia澳洲,Oceania,1954,69.6,9041116,10404
421,Australia澳洲,Oceania,1956,70.09,9449659,10768
423,Australia澳洲,Oceania,1958,70.45,9929049,11203
425,Australia澳洲,Oceania,1960,70.69,10362008,11710
427,Australia澳洲,Oceania,1962,70.93,10794968,12217
429,Australia澳洲,Oceania,1964,71.0,11225886,13141
431,Australia澳洲,Oceania,1966,71.07,11656805,14064
433,Australia澳洲,Oceania,1968,71.27,12133211,14979
435,Australia澳洲,Oceania,1970,71.6,12655106,15884
437,Australia澳洲,Oceania,1972,71.93,13177000,16789
439,Australia澳洲,Oceania,1974,72.55,13535840,17407
441,Australia澳洲,Oceania,1976,73.18,13894680,18025
443,Australia澳洲,Oceania,1978,73.74,14296120,18563
445,Australia澳洲,Oceania,1980,74.24,14740160,19020
447,Australia澳洲,Oceania,1982,74.74,15184200,19477
449,Australia澳洲,Oceania,1984,75.37,15613420,20442
451,Australia澳洲,Oceania,1986,76.0,16042639,21407
453,Australia澳洲,Oceania,1988,76.57,16502195,22196
455,Australia澳洲,Oceania,1990,77.06,16992086,22810
457,Australia澳洲,Oceania,1992,77.56,17481977,23425
459,Australia澳洲,Oceania,1994,78.07,17915283,24854
461,Australia澳洲,Oceania,1996,78.58,18348590,26283
463,Australia澳洲,Oceania,1998,79.14,18761553,27736
465,Australia澳洲,Oceania,2000,79.75,19154172,29212
467,Australia澳洲,Oceania,2002,80.37,19546792,30688
469,Australia澳洲,Oceania,2004,80.72,19901746,32187
471,Australia澳洲,Oceania,2006,81.06,20256699,33686
473,Australia澳洲,Oceania,2008,81.4,21007677,36322
475,Australia澳洲,Oceania,2010,81.7,22154679,40094
477,Australia澳洲,Oceania,2012,82.05,22865808,43867
479,Australia澳洲,Oceania,2014,82.3,23576937,47640
481,Australia澳洲,Oceania,2016,82.45,24245978,51412
483,Australia澳洲,Oceania,2018,82.75,24872931,55185
485,Australia澳洲,Oceania,2020,83.25,25499884,54200
487,Australia澳洲,Oceania,2022,83.74,26035403,57300
489,Australia澳洲,Oceania,2024,84.24,26570923,59700
491,Australia澳洲,Oceania,2026,84.74,27106442,62100
493,Australia澳洲,Oceania,2028,85.24,27641962,64500
495,Australia澳洲,Oceania,2030,85.73,28177481,66900
497,Australia澳洲,Oceania,2032,86.23,28713000,69300
498,Austria奧地利,Europe,1950,66.53,6636507,5055
500,Austria奧地利,Europe,1952,66.8,6927772,6137
502,Austria奧地利,Europe,1954,67.07,7081022,7219
504,Austria奧地利,Europe,1956,67.34,7096257,8301
506,Austria奧地利,Europe,1958,67.89,6998661,9224
508,Austria奧地利,Europe,1960,68.72,7064262,9987
510,Austria奧地利,Europe,1962,69.54,7129864,10751
512,Austria奧地利,Europe,1964,69.78,7228718,11584
514,Austria奧地利,Europe,1966,70.02,7327571,12418
516,Austria奧地利,Europe,1968,70.24,7410439,13600
518,Austria奧地利,Europe,1970,70.43,7477320,15131
520,Austria奧地利,Europe,1972,70.63,7544201,16662
522,Austria奧地利,Europe,1974,71.25,7553893,17897
524,Austria奧地利,Europe,1976,71.86,7563584,19132
526,Austria奧地利,Europe,1978,72.37,7569667,20119
528,Austria奧地利,Europe,1980,72.78,7572140,20858
530,Austria奧地利,Europe,1982,73.18,7574613,21597
532,Austria奧地利,Europe,1984,73.88,7576329,22433
534,Austria奧地利,Europe,1986,74.59,7578045,23270
536,Austria奧地利,Europe,1988,75.16,7646116,24359
538,Austria奧地利,Europe,1990,75.6,7780543,25700
540,Austria奧地利,Europe,1992,76.04,7914969,27042
542,Austria奧地利,Europe,1994,76.63,7976932,27864
544,Austria奧地利,Europe,1996,77.22,8038895,28685
546,Austria奧地利,Europe,1998,77.8,8085563,29760
548,Austria奧地利,Europe,2000,78.39,8116938,31089
550,Austria奧地利,Europe,2002,78.98,8148312,32418
552,Austria奧地利,Europe,2004,79.32,8168900,33901
554,Austria奧地利,Europe,2006,79.66,8189489,35385
556,Austria奧地利,Europe,2008,80.43,8269838,37337
558,Austria奧地利,Europe,2010,80.58,8409949,39759
560,Austria奧地利,Europe,2012,80.94,8517433,42180
562,Austria奧地利,Europe,2014,81.49,8624918,44601
564,Austria奧地利,Europe,2016,81.64,8744208,47023
566,Austria奧地利,Europe,2018,81.69,8875303,49444
568,Austria奧地利,Europe,2020,81.79,9006398,46500
570,Austria奧地利,Europe,2022,81.89,9040256,51000
572,Austria奧地利,Europe,2024,81.99,9074114,55000
574,Austria奧地利,Europe,2026,82.08,9107973,59000
576,Austria奧地利,Europe,2028,82.18,9141831,63000
578,Austria奧地利,Europe,2030,82.28,9175689,67000
580,Austria奧地利,Europe,2032,82.38,9209547,71000
581,Bahrain巴林,Asia,1950,49.78,113164,9160
583,Bahrain巴林,Asia,1952,50.94,120447,9867
585,Bahrain巴林,Asia,1954,52.1,127730,10575
587,Bahrain巴林,Asia,1956,53.25,135013,11282
589,Bahrain巴林,Asia,1958,54.45,145297,11859
591,Bahrain巴林,Asia,1960,55.69,158580,12306
593,Bahrain巴林,Asia,1962,56.92,171863,12753
595,Bahrain巴林,Asia,1964,58.12,183991,13574
597,Bahrain巴林,Asia,1966,59.32,196118,14394
599,Bahrain巴林,Asia,1968,60.6,207906,15497
601,Bahrain巴林,Asia,1970,61.95,219353,16883
603,Bahrain巴林,Asia,1972,63.3,230800,18269
605,Bahrain巴林,Asia,1974,64.22,257444,18697
607,Bahrain巴林,Asia,1976,65.13,284088,19126
609,Bahrain巴林,Asia,1978,66.28,313521,19314
611,Bahrain巴林,Asia,1980,67.67,345744,19263
613,Bahrain巴林,Asia,1982,69.05,377967,19211
615,Bahrain巴林,Asia,1984,69.73,408625,18936
617,Bahrain巴林,Asia,1986,70.41,439283,18661
619,Bahrain巴林,Asia,1988,71.12,469588,18626
621,Bahrain巴林,Asia,1990,71.86,499539,18831
623,Bahrain巴林,Asia,1992,72.6,529491,19036
625,Bahrain巴林,Asia,1994,73.13,557119,19538
627,Bahrain巴林,Asia,1996,73.66,584747,20041
629,Bahrain巴林,Asia,1998,74.1,610128,20914
631,Bahrain巴林,Asia,2000,74.45,633263,22159
633,Bahrain巴林,Asia,2002,74.8,656397,23404
635,Bahrain巴林,Asia,2004,75.13,677267,25961
637,Bahrain巴林,Asia,2006,75.47,698138,28518
639,Bahrain巴林,Asia,2008,75.77,886002,29056
641,Bahrain巴林,Asia,2010,76.06,1240860,27575
643,Bahrain巴林,Asia,2012,76.34,1293256,26095
645,Bahrain巴林,Asia,2014,76.62,1345653,24614
647,Bahrain巴林,Asia,2016,76.9,1437796,23134
649,Bahrain巴林,Asia,2018,77.16,1569685,21653
651,Bahrain巴林,Asia,2020,77.43,1701575,20500
653,Bahrain巴林,Asia,2022,77.69,1763943,21700
655,Bahrain巴林,Asia,2024,77.95,1826311,22800
657,Bahrain巴林,Asia,2026,78.21,1888680,23900
659,Bahrain巴林,Asia,2028,78.47,1951048,25000
661,Bahrain巴林,Asia,2030,78.74,2013416,26100
663,Bahrain巴林,Asia,2032,79.0,2075784,27200
664,Bangladesh巴林,Asia,1950,36.74,46595594,693
666,Bangladesh巴林,Asia,1952,37.48,46886859,684
668,Bangladesh巴林,Asia,1954,38.23,47928213,675
670,Bangladesh巴林,Asia,1956,38.98,49719657,666
672,Bangladesh巴林,Asia,1958,39.72,52460232,667
674,Bangladesh巴林,Asia,1960,40.47,54649761,676
676,Bangladesh巴林,Asia,1962,41.22,56839289,686
678,Bangladesh巴林,Asia,1964,42.11,59232327,700
680,Bangladesh巴林,Asia,1966,43.01,61625365,714
682,Bangladesh巴林,Asia,1968,43.81,64409366,703
684,Bangladesh巴林,Asia,1970,44.53,67584331,667
686,Bangladesh巴林,Asia,1972,45.25,70759295,630
688,Bangladesh巴林,Asia,1974,45.92,74626899,642
690,Bangladesh巴林,Asia,1976,46.59,78494504,654
692,Bangladesh巴林,Asia,1978,47.54,82957526,663
694,Bangladesh巴林,Asia,1980,48.77,88015966,670
696,Bangladesh巴林,Asia,1982,50.01,93074406,677
698,Bangladesh巴林,Asia,1984,51.13,97350340,707
700,Bangladesh巴林,Asia,1986,52.26,101626274,737
702,Bangladesh巴林,Asia,1988,53.46,105752309,769
704,Bangladesh巴林,Asia,1990,54.74,109728444,803
706,Bangladesh巴林,Asia,1992,56.02,113704579,838
708,Bangladesh巴林,Asia,1994,57.38,117548863,892
710,Bangladesh巴林,Asia,1996,58.73,121393146,946
712,Bangladesh巴林,Asia,1998,59.93,125783588,1005
714,Bangladesh巴林,Asia,2000,60.97,130720189,1071
716,Bangladesh巴林,Asia,2002,62.01,135656790,1136
718,Bangladesh巴林,Asia,2004,62.83,141573410,1238
720,Bangladesh巴林,Asia,2006,63.65,147490029,1340
722,Bangladesh巴林,Asia,2008,69.07,149490703,1383
724,Bangladesh巴林,Asia,2010,69.88,147575430,1365
726,Bangladesh巴林,Asia,2012,70.61,151047768,1348
728,Bangladesh巴林,Asia,2014,71.23,154520107,1331
730,Bangladesh巴林,Asia,2016,71.79,157942897,1314
732,Bangladesh巴林,Asia,2018,72.32,161316140,1296
734,Bangladesh巴林,Asia,2020,72.86,164689383,1250
736,Bangladesh巴林,Asia,2022,73.39,167550280,1310
738,Bangladesh巴林,Asia,2024,73.93,170411177,1370
740,Bangladesh巴林,Asia,2026,74.46,173272075,1430
742,Bangladesh巴林,Asia,2028,75.0,176132972,1490
744,Bangladesh巴林,Asia,2030,75.54,178993869,1550
746,Bangladesh巴林,Asia,2032,76.07,181854766,1610
747,Belgium比利時,Europe,1950,67.5,8439140,7794
749,Belgium比利時,Europe,1952,68.0,8730405,8343
751,Belgium比利時,Europe,1954,68.5,8927779,8892
753,Belgium比利時,Europe,1956,68.99,9031261,9441
755,Belgium比利時,Europe,1958,69.44,9034969,9970
757,Belgium比利時,Europe,1960,69.85,9126684,10481
759,Belgium比利時,Europe,1962,70.25,9218400,10991
761,Belgium比利時,Europe,1964,70.53,9353640,11854
763,Belgium比利時,Europe,1966,70.8,9488880,12717
765,Belgium比利時,Europe,1968,71.04,9587020,13854
767,Belgium比利時,Europe,1970,71.24,9648060,15263
769,Belgium比利時,Europe,1972,71.44,9709100,16672
771,Belgium比利時,Europe,1974,71.98,9754180,17650
773,Belgium比利時,Europe,1976,72.53,9799260,18629
775,Belgium比利時,Europe,1978,73.03,9828701,19490
777,Belgium比利時,Europe,1980,73.48,9842502,20235
779,Belgium比利時,Europe,1982,73.93,9856303,20980
781,Belgium比利時,Europe,1984,74.5,9861862,21598
783,Belgium比利時,Europe,1986,75.07,9867421,22216
785,Belgium比利時,Europe,1988,75.57,9905284,23136
787,Belgium比利時,Europe,1990,76.02,9975453,24356
789,Belgium比利時,Europe,1992,76.46,10045622,25576
791,Belgium比利時,Europe,1994,76.89,10107288,26370
793,Belgium比利時,Europe,1996,77.32,10168954,27164
795,Belgium比利時,Europe,1998,77.69,10222224,28146
797,Belgium比利時,Europe,2000,78.0,10267097,29316
799,Belgium比利時,Europe,2002,78.32,10311970,30486
801,Belgium比利時,Europe,2004,78.77,10344072,31769
803,Belgium比利時,Europe,2006,79.22,10376175,33051
805,Belgium比利時,Europe,2008,79.68,10574397,34847
807,Belgium比利時,Europe,2010,80.18,10938739,37155
809,Belgium比利時,Europe,2012,80.39,11078419,39463
811,Belgium比利時,Europe,2014,81.29,11218100,41771
813,Belgium比利時,Europe,2016,81.44,11348277,44079
815,Belgium比利時,Europe,2018,81.6,11468950,46387
817,Belgium比利時,Europe,2020,81.8,11589623,46000
819,Belgium比利時,Europe,2022,82.0,11652448,47800
821,Belgium比利時,Europe,2024,82.21,11715274,48600
823,Belgium比利時,Europe,2026,82.41,11778099,49400
825,Belgium比利時,Europe,2028,82.62,11840925,50200
827,Belgium比利時,Europe,2030,82.82,11903750,51000
829,Belgium比利時,Europe,2032,83.03,11966575,51800
830,Benin貝南,Africa,1950,37.37,1447050,1104
832,Benin貝南,Africa,1952,38.22,1738315,1063
834,Benin貝南,Africa,1954,39.08,1921319,1021
836,Benin貝南,Africa,1956,39.93,1996062,980
838,Benin貝南,Africa,1958,40.81,1970517,958
840,Benin貝南,Africa,1960,41.71,2061206,954
842,Benin貝南,Africa,1962,42.62,2151895,949
844,Benin貝南,Africa,1964,43.52,2262071,984
846,Benin貝南,Africa,1966,44.43,2372246,1019
848,Benin貝南,Africa,1968,45.31,2494149,1046
850,Benin貝南,Africa,1970,46.16,2627778,1066
852,Benin貝南,Africa,1972,47.01,2761407,1086
854,Benin貝南,Africa,1974,47.88,2924151,1063
856,Benin貝南,Africa,1976,48.75,3086895,1040
858,Benin貝南,Africa,1978,49.53,3262934,1079
860,Benin貝南,Africa,1980,50.22,3452269,1178
862,Benin貝南,Africa,1982,50.9,3641603,1278
864,Benin貝南,Africa,1984,51.48,3882477,1257
866,Benin貝南,Africa,1986,52.05,4123351,1236
868,Benin貝南,Africa,1988,52.65,4391365,1219
870,Benin貝南,Africa,1990,53.29,4686518,1205
872,Benin貝南,Africa,1992,53.92,4981671,1191
874,Benin貝南,Africa,1994,54.26,5415435,1208
876,Benin貝南,Africa,1996,54.61,5849198,1225
878,Benin貝南,Africa,1998,54.7,6258087,1261
880,Benin貝南,Africa,2000,54.55,6642100,1317
882,Benin貝南,Africa,2002,54.41,7026113,1373
884,Benin貝南,Africa,2004,55.33,7446993,1400
886,Benin貝南,Africa,2006,56.26,7867874,1428
888,Benin貝南,Africa,2008,58.65,8451962,1426
890,Benin貝南,Africa,2010,59.32,9199259,1396
892,Benin貝南,Africa,2012,59.84,9749936,1366
894,Benin貝南,Africa,2014,60.35,10300613,1335
896,Benin貝南,Africa,2016,60.89,10885402,1305
898,Benin貝南,Africa,2018,61.47,11504301,1275
900,Benin貝南,Africa,2020,62.06,12123200,1150
902,Benin貝南,Africa,2022,62.65,12833021,1260
904,Benin貝南,Africa,2024,63.25,13542842,1380
906,Benin貝南,Africa,2026,63.84,14252662,1500
908,Benin貝南,Africa,2028,64.43,14962483,1620
910,Benin貝南,Africa,2030,65.02,15672304,1740
912,Benin貝南,Africa,2032,65.61,16382125,1860
913,Bolivia玻利維亞,Americas,1950,39.82,2592050,2897
915,Bolivia玻利維亞,Americas,1952,40.41,2883315,2677
917,Bolivia玻利維亞,Americas,1954,41.0,3094632,2457
919,Bolivia玻利維亞,Americas,1956,41.59,3226001,2238
921,Bolivia玻利維亞,Americas,1958,42.2,3288174,2138
923,Bolivia玻利維亞,Americas,1960,42.81,3441046,2160
