,country,continent,year,lifeExp,pop,gdpPercap
1647,Cameroon喀麥隆,Africa,2020,59.74,26545863,1400
1657,Cameroon喀麥隆,Africa,2030,63.84,33766121,2045
1660,Canada加拿大,Americas,1950,68.27,14494319,10918
1670,Canada加拿大,Americas,1960,70.76,18195571,13073
1680,Canada加拿大,Americas,1970,72.58,21698607,17813
1690,Canada加拿大,Americas,1980,75.14,24639700,22576
1700,Canada加拿大,Americas,1990,77.51,27733981,26456
1710,Canada加拿大,Americas,2000,79.31,31263698,31579
1720,Canada加拿大,Americas,2010,81.25,34147564,40137
1730,Canada加拿大,Americas,2020,81.95,26545863,50100
1740,Canada加拿大,Americas,2030,81.95,33766121,55600
1743,Central African Republic中非共利國,Africa,1950,34.66,1000430,1023
1753,Central African Republic中非共利國,Africa,1960,38.67,1471000,1192
1763,Central African Republic中非共利國,Africa,1970,42.67,1849811,1096
1773,Central African Republic中非共利國,Africa,1980,47.69,2353196,1018
1783,Central African Republic中非共利國,Africa,1990,49.83,3095078,787
1793,Central African Republic中非共利國,Africa,2000,44.41,3907413,739
1803,Central African Republic中非共利國,Africa,2010,47.31,4386768,626
1813,Central African Republic中非共利國,Africa,2020,53.94,4829767,370
1823,Central African Republic中非共利國,Africa,2030,59.59,5942211,418
1826,Chad查德,Africa,1950,37.38,2391197,1127
1836,Chad查德,Africa,1960,40.98,3048192,1357
1846,Chad查德,Africa,1970,44.78,3737828,1141
1856,Chad查德,Africa,1980,48.66,4680375,932
1866,Chad查德,Africa,1990,51.45,6057232,1016
1876,Chad查德,Africa,2000,50.94,8326248,1096
1886,Chad查德,Africa,2010,50.89,11952136,1481
1896,Chad查德,Africa,2020,54.51,16425864,700
1906,Chad查德,Africa,2030,57.16,21690381,1260
1909,Chile智利,Americas,1950,54.21,6086354,3790
1919,Chile智利,Americas,1960,57.18,7596125,4438
1929,Chile智利,Americas,1970,62.27,9374078,5339
1939,Chile智利,Americas,1980,69.16,11132184,4960
1949,Chile智利,Americas,1990,73.47,13129138,6777
1959,Chile智利,Americas,2000,77.04,15138199,10514
1969,Chile智利,Americas,2010,78.78,17062536,13652
1979,Chile智利,Americas,2020,80.31,19116201,14650
1989,Chile智利,Americas,2030,81.64,19458103,16800
1992,China中國,Asia,1950,41.38,555972262,330
2002,China中國,Asia,1960,46.92,654425200,523
2012,China中國,Asia,1970,61.22,819038000,651
2022,China中國,Asia,1980,64.9,977550600,874
2032,China中國,Asia,1990,68.12,1132596000,1545
2042,China中國,Asia,2000,71.39,1260270000,2787
2052,China中國,Asia,2010,74.41,1368810615,5783
2062,China中國,Asia,2020,77.17,1439323776,8130
2072,China中國,Asia,2030,79.51,1464340159,10460
2075,Colombia哥倫比亞,Americas,1950,48.85,12059506,2072
2085,Colombia哥倫比亞,Americas,1960,56.77,16000328,2425
2095,Colombia哥倫比亞,Americas,1970,60.96,21431345,3030
2105,Colombia哥倫比亞,Americas,1980,65.53,26696551,4165
2115,Colombia哥倫比亞,Americas,1990,68.16,32907331,5228
2125,Colombia哥倫比亞,Americas,2000,71.13,39668068,5900
2135,Colombia哥倫比亞,Americas,2010,75.42,45222700,7216
2145,Colombia哥倫比亞,Americas,2020,77.48,50882891,7500
2155,Colombia哥倫比亞,Americas,2030,79.32,53416763,8600
2158,Comoros葛摩聯盟,Africa,1950,40.02,147139,1060
2168,Comoros葛摩聯盟,Africa,1960,43.66,183385,1328
2178,Comoros葛摩聯盟,Africa,1970,47.96,236967,1913
2188,Comoros葛摩聯盟,Africa,1980,52.14,331081,1229
2198,Comoros葛摩聯盟,Africa,1990,56.73,430703,1275
2208,Comoros葛摩聯盟,Africa,2000,62.05,579822,1115
2218,Comoros葛摩聯盟,Africa,2010,61.86,689692,1092
2228,Comoros葛摩聯盟,Africa,2020,64.53,869601,1378
2238,Comoros葛摩聯盟,Africa,2030,66.59,1063114,1850
2241,"Congo, Dem. Rep.剛果民主共和國",Africa,1950,38.54,13808740,730
2251,"Congo, Dem. Rep.剛果民主共和國",Africa,1960,41.53,16723033,900
2261,"Congo, Dem. Rep.剛果民主共和國",Africa,1970,45.22,21781031,888
2271,"Congo, Dem. Rep.剛果民主共和國",Africa,1980,47.79,28980245,723
2281,"Congo, Dem. Rep.剛果民主共和國",Africa,1990,46.29,39195944,544
2291,"Congo, Dem. Rep.剛果民主共和國",Africa,2000,44.01,52347506,270
2301,"Congo, Dem. Rep.剛果民主共和國",Africa,2010,56.91,64563854,314
2311,"Congo, Dem. Rep.剛果民主共和國",Africa,2020,61.05,89561403,390
2321,"Congo, Dem. Rep.剛果民主共和國",Africa,2030,64.47,120046726,600
2324,"Congo, Rep.剛果",Africa,1950,40.93,563620,2050
2334,"Congo, Rep.剛果",Africa,1960,47.08,1004938,2405
2344,"Congo, Rep.剛果",Africa,1970,53.76,1276179,2999
2354,"Congo, Rep.剛果",Africa,1980,56.27,1679549,4231
2364,"Congo, Rep.剛果",Africa,1990,56.85,2271082,4090
2374,"Congo, Rep.剛果",Africa,2000,52.97,3117656,3484
2384,"Congo, Rep.剛果",Africa,2010,60.09,64563854,2830
2394,"Congo, Rep.剛果",Africa,2020,64.96,89561403,390
2404,"Congo, Rep.剛果",Africa,2030,68.32,120046726,600
2407,Costa Rica哥斯大黎加,Americas,1950,56.08,635052,2482
2417,Costa Rica哥斯大黎加,Americas,1960,61.72,1252032,3273
2427,Costa Rica哥斯大黎加,Americas,1970,66.88,1736364,4736
2437,Costa Rica哥斯大黎加,Americas,1980,72.37,2298003,5528
2447,Costa Rica哥斯大黎加,Americas,1990,75.33,3023854,5948
2457,Costa Rica哥斯大黎加,Americas,2000,77.78,3708203,7305
2467,Costa Rica哥斯大黎加,Americas,2010,78.77,4577378,9746
2477,Costa Rica哥斯大黎加,Americas,2020,80.46,5094118,9510
2487,Costa Rica哥斯大黎加,Americas,2030,82.27,5468038,10300
2490,Cote d'Ivoire象牙海岸,Africa,1950,39.68,2685754,1344
2500,Cote d'Ivoire象牙海岸,Africa,1960,43.95,3619445,1638
2510,Cote d'Ivoire象牙海岸,Africa,1970,48.82,5540966,2248
2520,Cote d'Ivoire象牙海岸,Africa,1980,53.34,8399400,2569
2530,Cote d'Ivoire象牙海岸,Africa,1990,53.09,11967997,1852
2540,Cote d'Ivoire象牙海岸,Africa,2000,47.3,15602022,1704
2550,Cote d'Ivoire象牙海岸,Africa,2010,52.96,20530000,1571
2560,Cote d'Ivoire象牙海岸,Africa,2020,58.23,25820000,1715
2570,Cote d'Ivoire象牙海岸,Africa,2030,62.28,26550000,2346
2573,Croatia克羅埃西亞,Europe,1950,59.79,3590964,2632
2583,Croatia克羅埃西亞,Europe,1960,66.19,4042431,5022
2593,Croatia克羅埃西亞,Europe,1970,69.17,4204932,8283
2603,Croatia克羅埃西亞,Europe,1980,70.53,4375490,12455
2613,Croatia克羅埃西亞,Europe,1990,72.12,4490132,10598
2623,Croatia克羅埃西亞,Europe,2000,74.4,4466450,10927
2633,Croatia克羅埃西亞,Europe,2010,76.48,4328165,15078
2643,Croatia克羅埃西亞,Europe,2020,78.56,4105267,15200
2653,Croatia克羅埃西亞,Europe,2030,81.0,3877272,18100
2656,Cuba古巴,Americas,1950,58.26,5716532,5384
2666,Cuba古巴,Americas,1960,64.08,7008925,5545
2676,Cuba古巴,Americas,1970,69.75,8554542,5459
2686,Cuba古巴,Americas,1980,73.29,9688730,6942
2696,Cuba古巴,Americas,1990,74.32,10529892,6369
2706,Cuba古巴,Americas,2000,76.76,11129402,5977
2716,Cuba古巴,Americas,2010,78.34,11225832,8415
2726,Cuba古巴,Americas,2020,78.85,11326616,6530
2736,Cuba古巴,Americas,2030,79.49,11142328,7110
2739,Czech Republic捷克,Europe,1950,66.01,8833918,6324
2749,Czech Republic捷克,Europe,1960,69.55,9577672,9385
2759,Czech Republic捷克,Europe,1970,70.33,9851338,12425
2769,Czech Republic捷克,Europe,1980,70.86,10246988,15146
2779,Czech Republic捷克,Europe,1990,72.07,10314060,15102
2789,Czech Republic捷克,Europe,2000,74.91,10274060,16977
2799,Czech Republic捷克,Europe,2010,77.42,10536518,23083
2809,Czech Republic捷克,Europe,2020,79.13,10708981,22500
2819,Czech Republic捷克,Europe,2030,79.64,10744834,30300
2822,Denmark丹麥,Europe,1950,70.37,4272468,9129
2832,Denmark丹麥,Europe,1960,72.13,4583272,12590
2842,Denmark丹麥,Europe,1970,73.27,4930478,17695
2852,Denmark丹麥,Europe,1980,74.65,5106054,21182
2862,Denmark丹麥,Europe,1990,75.12,5153645,25891
2872,Denmark丹麥,Europe,2000,76.75,5338281,31222
2882,Denmark丹麥,Europe,2010,79.1,5554844,42746
2892,Denmark丹麥,Europe,2020,80.66,5792202,62200
2902,Denmark丹麥,Europe,2030,79.17,6001867,69800
2905,Djibouti吉布地,Africa,1950,33.81,1617,2591
2915,Djibouti吉布地,Africa,1960,38.75,82679,2959
2925,Djibouti吉布地,Africa,1970,43.45,158356,3425
2935,Djibouti吉布地,Africa,1980,47.89,275072,2960
2945,Djibouti吉布地,Africa,1990,50.98,354904,2578
2955,Djibouti吉布地,Africa,2000,53.29,435613,1903
2965,Djibouti吉布地,Africa,2010,60.06,840198,2296
2975,Djibouti吉布地,Africa,2020,67.96,988000,3088
2985,Djibouti吉布地,Africa,2030,74.85,1116724,4608
2988,Dominican Republic多明尼加共和國,Americas,1950,44.37,2429814,1339
2998,Dominican Republic多明尼加共和國,Americas,1960,52.01,3241335,1615
3008,Dominican Republic多明尼加共和國,Americas,1970,58.48,4422456,1975
3018,Dominican Republic多明尼加共和國,Americas,1980,62.95,5702129,2789
3028,Dominican Republic多明尼加共和國,Americas,1990,67.49,7072827,2986
3038,Dominican Republic多明尼加共和國,Americas,2000,70.49,8387136,4184
3048,Dominican Republic多明尼加共和國,Americas,2010,72.05,9695121,6520
3058,Dominican Republic多明尼加共和國,Americas,2020,74.3,10847910,7520
3068,Dominican Republic多明尼加共和國,Americas,2030,76.33,11770322,10400
3071,Ecuador厄瓜多,Americas,1950,47.16,3487221,3419
3081,Ecuador厄瓜多,Americas,1960,53.33,4432378,3964
3091,Ecuador厄瓜多,Americas,1970,57.95,5952160,5000
3101,Ecuador厄瓜多,Americas,1980,63.13,7931056,7000
3111,Ecuador厄瓜多,Americas,1990,68.66,10267100,6855
3121,Ecuador厄瓜多,Americas,2000,73.43,12517468,6436
3131,Ecuador厄瓜多,Americas,2010,75.09,15011117,6429
3141,Ecuador厄瓜多,Americas,2020,77.23,17643054,4850
3151,Ecuador厄瓜多,Americas,2030,79.39,19818797,6350
3154,Egypt埃及,Africa,1950,40.87,22161777,1403
3164,Egypt埃及,Africa,1960,45.97,26907882,1600
3174,Egypt埃及,Africa,1970,50.4,33556925,1940
3184,Egypt埃及,Africa,1980,54.93,42922632,3216
3194,Egypt埃及,Africa,1990,62.12,56760944,3831
3204,Egypt埃及,Africa,2000,68.77,70441252,4522
3214,Egypt埃及,Africa,2010,70.35,82761235,4938
3224,Egypt埃及,Africa,2020,72.16,102334404,2900
3234,Egypt埃及,Africa,2030,73.85,120831557,4130
3237,El Salvador薩爾瓦多,Americas,1950,43.94,1981333,2899
3247,El Salvador薩爾瓦多,Americas,1960,50.81,2590934,3635
3257,El Salvador薩爾瓦多,Americas,1970,57.27,3567713,4456
3267,El Salvador薩爾瓦多,Americas,1980,56.64,4397958,4515
3277,El Salvador薩爾瓦多,Americas,1990,65.34,5101667,4323
3287,El Salvador薩爾瓦多,Americas,2000,70.25,6125584,5273
3297,El Salvador薩爾瓦多,Americas,2010,71.21,6183875,5189
3307,El Salvador薩爾瓦多,Americas,2020,73.54,6486205,3350
3317,El Salvador薩爾瓦多,Americas,2030,75.78,6778586,5200
3320,Equatorial Guinea赤道幾內亞,Africa,1950,33.88,155432,355
3330,Equatorial Guinea赤道幾內亞,Africa,1960,36.88,242701,520
3340,Equatorial Guinea赤道幾內亞,Africa,1970,39.9,270507,770
3350,Equatorial Guinea赤道幾內亞,Africa,1980,43.01,248360,940
3360,Equatorial Guinea赤道幾內亞,Africa,1990,46.79,369200,1066
3370,Equatorial Guinea赤道幾內亞,Africa,2000,48.91,473365,5748
3380,Equatorial Guinea赤道幾內亞,Africa,2010,55.62,943639,11425
3390,Equatorial Guinea赤道幾內亞,Africa,2020,59.08,1402985,7900
3400,Equatorial Guinea赤道幾內亞,Africa,2030,62.49,1873549,11900
3403,Eritrea厄利垂亞,Africa,1950,35.08,1377228,323
3413,Eritrea厄利垂亞,Africa,1960,39.31,1617015,366
3423,Eritrea厄利垂亞,Africa,1970,43.36,2084240,496
3433,Eritrea厄利垂亞,Africa,1980,44.15,2587435,517
3443,Eritrea厄利垂亞,Africa,1990,48.58,3367448,558
3453,Eritrea厄利垂亞,Africa,2000,54.5,4272247,825
3463,Eritrea厄利垂亞,Africa,2010,62.19,3170435,567
3473,Eritrea厄利垂亞,Africa,2020,66.75,3546421,350
3483,Eritrea厄利垂亞,Africa,2030,70.78,4240213,429
3486,Ethiopia衣索比亞,Africa,1950,33.04,20799409,355
3496,Ethiopia衣索比亞,Africa,1960,38.7,24213469,403
3506,Ethiopia衣索比亞,Africa,1970,42.96,29606342,546
3516,Ethiopia衣索比亞,Africa,1980,44.75,36714173,569
3526,Ethiopia衣索比亞,Africa,1990,47.53,48452947,482
3536,Ethiopia衣索比亞,Africa,2000,50.2,64712599,524
3546,Ethiopia衣索比亞,Africa,2010,61.63,87639964,669
3556,Ethiopia衣索比亞,Africa,2020,66.98,114963588,500
3566,Ethiopia衣索比亞,Africa,2030,70.66,144944299,1210
3569,Finland芬蘭,Europe,1950,66.17,4028968,5976
3579,Finland芬蘭,Europe,1960,68.25,4424466,8641
3589,Finland芬蘭,Europe,1970,70.45,4626092,12984
3599,Finland芬蘭,Europe,1980,73.74,4791721,17362
3609,Finland芬蘭,Europe,1990,75.35,4997315,20845
3619,Finland芬蘭,Europe,2000,77.87,5169586,26412
3629,Finland芬蘭,Europe,2010,79.87,5365782,37216
3639,Finland芬蘭,Europe,2020,81.94,5540720,45100
3649,Finland芬蘭,Europe,2030,82.96,5580537,54700
3652,France法國,Europe,1950,66.8,42398135,6377
3662,France法國,Europe,1960,69.88,45998745,9801
3672,France法國,Europe,1970,72.05,50866800,14864
3682,France法國,Europe,1980,74.47,53926147,19493
3692,France法國,Europe,1990,77.01,56676547,23649
3702,France法國,Europe,2000,79.21,59404392,27712
3712,France法國,Europe,2010,81.66,62879530,33932
3722,France法國,Europe,2020,83.02,65273511,41800
3732,France法國,Europe,2030,84.51,66695702,49800
3735,Gabon加彭,Africa,1950,36.2,359170,4020
3745,Gabon加彭,Africa,1960,39.89,447358,5969
3755,Gabon加彭,Africa,1970,47.05,518388,10185
3765,Gabon加彭,Africa,1980,55.05,734871,17766
3775,Gabon加彭,Africa,1990,60.9,943602,12859
3785,Gabon加彭,Africa,2000,58.24,1230058,13402
3795,Gabon加彭,Africa,2010,61.4,1624140,12187
3805,Gabon加彭,Africa,2020,66.88,2225734,8900
3815,Gabon加彭,Africa,2030,70.36,2744451,10000
3818,Gambia甘比亞,Africa,1950,29.17,222788,471
3828,Gambia甘比亞,Africa,1960,33.16,353672,568
3838,Gambia甘比亞,Africa,1970,37.33,486098,748
3848,Gambia甘比亞,Africa,1980,44.08,672623,855
3858,Gambia甘比亞,Africa,1990,51.29,954593,644
3868,Gambia甘比亞,Africa,2000,57.17,1368966,658
3878,Gambia甘比亞,Africa,2010,59.64,1793196,767
3888,Gambia甘比亞,Africa,2020,62.33,2416668,700
3898,Gambia甘比亞,Africa,2030,65.28,3170685,1005
3901,Germany德國,Europe,1950,66.86,69084420,5927
3911,Germany德國,Europe,1960,69.82,72651098,11817
3921,Germany德國,Europe,1970,70.92,77777634,16708
3931,Germany德國,Europe,1980,73.28,78265469,21424
3941,Germany德國,Europe,1990,75.58,79445978,25759
3951,Germany德國,Europe,2000,78.14,82214832,29137
3961,Germany德國,Europe,2010,79.99,80827002,36035
3971,Germany德國,Europe,2020,80.69,83783942,46500
3981,Germany德國,Europe,2030,79.69,83135644,55300
3984,Ghana迦納,Africa,1950,42.5,5519469,858
3994,Ghana迦納,Africa,1960,45.78,6969664,1131
4004,Ghana迦納,Africa,1970,49.15,9008557,1157
4014,Ghana迦納,Africa,1980,52.95,11055440,923
4024,Ghana迦納,Africa,1990,56.79,15434483,894
4034,Ghana迦納,Africa,2000,58.49,19697766,1069
4044,Ghana迦納,Africa,2010,61.03,24779619,1467
4054,Ghana迦納,Africa,2020,64.41,31072940,1700
4064,Ghana迦納,Africa,2030,67.58,37833419,3150
4067,Greece希臘,Europe,1950,65.06,7671718,2976
