,country,continent,year,lifeExp,pop,gdpPercap,Two_Letter_Country_Code,iso_alpha,iso_num
236,Algeria阿爾吉利亞,Africa,2020,77.08,43851044,4575,DZ,DZA,12
241,Algeria阿爾吉利亞,Africa,2025,78.05,47105897,5000,DZ,DZA,12
246,Algeria阿爾吉利亞,Africa,2030,79.02,50360749,5500,DZ,DZA,12
249,Angola安哥拉,Africa,1950,29.22,3940830,3398,DZ,AGO,24
254,Angola安哥拉,Africa,1955,31.21,4509434,3705,DZ,AGO,24
259,Angola安哥拉,Africa,1960,33.2,4720153,4093,DZ,AGO,24
264,Angola安哥拉,Africa,1965,35.19,5078887,5021,DZ,AGO,24
269,Angola安哥拉,Africa,1970,37.15,5635902,5493,DZ,AGO,24
274,Angola安哥拉,Africa,1975,38.86,6055548,3995,DZ,AGO,24
279,Angola安哥拉,Africa,1980,39.76,6674900,2858,DZ,AGO,24
284,Angola安哥拉,Africa,1985,39.92,7531092,2561,DZ,AGO,24
289,Angola安哥拉,Africa,1990,40.35,8391285,2549,DZ,AGO,24
294,Angola安哥拉,Africa,1995,40.84,9419410,2417,DZ,AGO,24
299,Angola安哥拉,Africa,2000,40.99,10469673,2575,DZ,AGO,24
304,Angola安哥拉,Africa,2005,42.04,11798728,3988,DZ,AGO,24
309,Angola安哥拉,Africa,2010,55.35,23356246,4374,DZ,AGO,24
314,Angola安哥拉,Africa,2015,59.4,27884381,3668,DZ,AGO,24
319,Angola安哥拉,Africa,2020,61.59,32866272,2980,DZ,AGO,24
324,Angola安哥拉,Africa,2025,63.6,38850492,3700,DZ,AGO,24
329,Angola安哥拉,Africa,2030,65.62,44834712,4700,DZ,AGO,24
332,Argentina阿根廷,Americas,1950,61.72,17585691,5533,AR,ARG,32
337,Argentina阿根廷,Americas,1955,63.63,18716021,6479,AR,ARG,32
342,Argentina阿根廷,Americas,1960,64.84,20614485,7023,AR,ARG,32
347,Argentina阿根廷,Americas,1965,65.44,22274048,7685,AR,ARG,32
352,Argentina阿根廷,Americas,1970,66.49,24041569,8887,AR,ARG,32
357,Argentina阿根廷,Americas,1975,67.91,26102216,9825,AR,ARG,32
362,Argentina阿根廷,Americas,1980,69.36,28398356,9430,AR,ARG,32
367,Argentina阿根廷,Americas,1985,70.44,30709100,9083,AR,ARG,32
372,Argentina阿根廷,Americas,1990,71.43,33023735,9241,AR,ARG,32
377,Argentina阿根廷,Americas,1995,72.71,35305657,10304,AR,ARG,32
382,Argentina阿根廷,Americas,2000,73.91,37480058,9665,AR,ARG,32
387,Argentina阿根廷,Americas,2005,74.93,39513605,11187,AR,ARG,32
392,Argentina阿根廷,Americas,2010,75.28,40895752,12017,AR,ARG,32
397,Argentina阿根廷,Americas,2015,76.07,43075416,10746,AR,ARG,32
402,Argentina阿根廷,Americas,2020,76.82,45195774,8854,AR,ARG,32
407,Argentina阿根廷,Americas,2025,77.56,47125968,10400,AR,ARG,32
412,Argentina阿根廷,Americas,2030,78.3,49056162,11900,AR,ARG,32
415,Australia澳洲,Oceania,1950,68.64,8399947,9676,AU,AUS,36
420,Australia澳洲,Oceania,1955,69.85,9245387,10586,AU,AUS,36
425,Australia澳洲,Oceania,1960,70.69,10362008,11710,AU,AUS,36
430,Australia澳洲,Oceania,1965,71.03,11441346,13603,AU,AUS,36
435,Australia澳洲,Oceania,1970,71.6,12655106,15884,AU,AUS,36
440,Australia澳洲,Oceania,1975,72.87,13715260,17716,AU,AUS,36
445,Australia澳洲,Oceania,1980,74.24,14740160,19020,AU,AUS,36
450,Australia澳洲,Oceania,1985,75.69,15828029,20924,AU,AUS,36
455,Australia澳洲,Oceania,1990,77.06,16992086,22810,AU,AUS,36
460,Australia澳洲,Oceania,1995,78.32,18131937,25569,AU,AUS,36
465,Australia澳洲,Oceania,2000,79.75,19154172,29212,AU,AUS,36
470,Australia澳洲,Oceania,2005,80.89,20079222,32936,AU,AUS,36
475,Australia澳洲,Oceania,2010,81.7,22154679,40094,AU,AUS,36
480,Australia澳洲,Oceania,2015,82.4,23932502,49526,AU,AUS,36
485,Australia澳洲,Oceania,2020,83.25,25499884,54200,AU,AUS,36
490,Australia澳洲,Oceania,2025,84.49,26838683,60900,AU,AUS,36
495,Australia澳洲,Oceania,2030,85.73,28177481,66900,AU,AUS,36
498,Austria奧地利,Europe,1950,66.53,6636507,5055,AT,AUT,40
503,Austria奧地利,Europe,1955,67.21,7088640,7760,AT,AUT,40
508,Austria奧地利,Europe,1960,68.72,7064262,9987,AT,AUT,40
513,Austria奧地利,Europe,1965,69.9,7278144,12001,AT,AUT,40
518,Austria奧地利,Europe,1970,70.43,7477320,15131,AT,AUT,40
523,Austria奧地利,Europe,1975,71.55,7558738,18514,AT,AUT,40
528,Austria奧地利,Europe,1980,72.78,7572140,20858,AT,AUT,40
533,Austria奧地利,Europe,1985,74.24,7577187,22852,AT,AUT,40
538,Austria奧地利,Europe,1990,75.6,7780543,25700,AT,AUT,40
543,Austria奧地利,Europe,1995,76.92,8007913,28274,AT,AUT,40
548,Austria奧地利,Europe,2000,78.39,8116938,31089,AT,AUT,40
553,Austria奧地利,Europe,2005,79.49,8179195,34643,AT,AUT,40
558,Austria奧地利,Europe,2010,80.58,8409949,39759,AT,AUT,40
563,Austria奧地利,Europe,2015,81.19,8678660,45812,AT,AUT,40
568,Austria奧地利,Europe,2020,81.79,9006398,46500,AT,AUT,40
573,Austria奧地利,Europe,2025,82.03,9091044,57000,AT,AUT,40
578,Austria奧地利,Europe,2030,82.28,9175689,67000,AT,AUT,40
581,Bahrain巴林,Asia,1950,49.78,113164,9160,BH,BHR,48
586,Bahrain巴林,Asia,1955,52.67,131372,10928,BH,BHR,48
591,Bahrain巴林,Asia,1960,55.69,158580,12306,BH,BHR,48
596,Bahrain巴林,Asia,1965,58.72,190054,13984,BH,BHR,48
601,Bahrain巴林,Asia,1970,61.95,219353,16883,BH,BHR,48
606,Bahrain巴林,Asia,1975,64.68,270766,18912,BH,BHR,48
611,Bahrain巴林,Asia,1980,67.67,345744,19263,BH,BHR,48
616,Bahrain巴林,Asia,1985,70.07,423954,18799,BH,BHR,48
621,Bahrain巴林,Asia,1990,71.86,499539,18831,BH,BHR,48
626,Bahrain巴林,Asia,1995,73.4,570933,19789,BH,BHR,48
631,Bahrain巴林,Asia,2000,74.45,633263,22159,BH,BHR,48
636,Bahrain巴林,Asia,2005,75.3,687703,27239,BH,BHR,48
641,Bahrain巴林,Asia,2010,76.06,1240860,27575,BH,BHR,48
646,Bahrain巴林,Asia,2015,76.76,1371851,23874,BH,BHR,48
651,Bahrain巴林,Asia,2020,77.43,1701575,20500,BH,BHR,48
656,Bahrain巴林,Asia,2025,78.08,1857496,23350,BH,BHR,48
661,Bahrain巴林,Asia,2030,78.74,2013416,26100,BH,BHR,48
664,Bangladesh巴林,Asia,1950,36.74,46595594,693,BD,BGD,50
669,Bangladesh巴林,Asia,1955,38.6,48823935,671,BD,BGD,50
674,Bangladesh巴林,Asia,1960,40.47,54649761,676,BD,BGD,50
679,Bangladesh巴林,Asia,1965,42.56,60428846,707,BD,BGD,50
684,Bangladesh巴林,Asia,1970,44.53,67584331,667,BD,BGD,50
689,Bangladesh巴林,Asia,1975,46.25,76560702,648,BD,BGD,50
694,Bangladesh巴林,Asia,1980,48.77,88015966,670,BD,BGD,50
699,Bangladesh巴林,Asia,1985,51.7,99488307,722,BD,BGD,50
704,Bangladesh巴林,Asia,1990,54.74,109728444,803,BD,BGD,50
709,Bangladesh巴林,Asia,1995,58.05,119471004,919,BD,BGD,50
714,Bangladesh巴林,Asia,2000,60.97,130720189,1071,BD,BGD,50
719,Bangladesh巴林,Asia,2005,63.24,144531719,1289,BD,BGD,50
724,Bangladesh巴林,Asia,2010,69.88,147575430,1365,BD,BGD,50
729,Bangladesh巴林,Asia,2015,71.51,156256276,1322,BD,BGD,50
734,Bangladesh巴林,Asia,2020,72.86,164689383,1250,BD,BGD,50
739,Bangladesh巴林,Asia,2025,74.2,171841626,1400,BD,BGD,50
744,Bangladesh巴林,Asia,2030,75.54,178993869,1550,BD,BGD,50
747,Belgium比利時,Europe,1950,67.5,8439140,7794,BE,BEL,56
752,Belgium比利時,Europe,1955,68.74,8979520,9166,BE,BEL,56
757,Belgium比利時,Europe,1960,69.85,9126684,10481,BE,BEL,56
762,Belgium比利時,Europe,1965,70.66,9421260,12286,BE,BEL,56
767,Belgium比利時,Europe,1970,71.24,9648060,15263,BE,BEL,56
772,Belgium比利時,Europe,1975,72.26,9776720,18140,BE,BEL,56
777,Belgium比利時,Europe,1980,73.48,9842502,20235,BE,BEL,56
782,Belgium比利時,Europe,1985,74.78,9864641,21907,BE,BEL,56
787,Belgium比利時,Europe,1990,76.02,9975453,24356,BE,BEL,56
792,Belgium比利時,Europe,1995,77.1,10138121,26767,BE,BEL,56
797,Belgium比利時,Europe,2000,78.0,10267097,29316,BE,BEL,56
802,Belgium比利時,Europe,2005,78.99,10360124,32410,BE,BEL,56
807,Belgium比利時,Europe,2010,80.18,10938739,37155,BE,BEL,56
812,Belgium比利時,Europe,2015,80.99,11287940,42925,BE,BEL,56
817,Belgium比利時,Europe,2020,81.8,11589623,46000,BE,BEL,56
822,Belgium比利時,Europe,2025,82.31,11746687,49000,BE,BEL,56
827,Belgium比利時,Europe,2030,82.82,11903750,51000,BE,BEL,56
830,Benin貝南,Africa,1950,37.37,1447050,1104,BJ,BEN,204
835,Benin貝南,Africa,1955,39.5,1958691,1001,BJ,BEN,204
840,Benin貝南,Africa,1960,41.71,2061206,954,BJ,BEN,204
845,Benin貝南,Africa,1965,43.98,2317158,1001,BJ,BEN,204
850,Benin貝南,Africa,1970,46.16,2627778,1066,BJ,BEN,204
855,Benin貝南,Africa,1975,48.32,3005523,1052,BJ,BEN,204
860,Benin貝南,Africa,1980,50.22,3452269,1178,BJ,BEN,204
865,Benin貝南,Africa,1985,51.76,4002914,1247,BJ,BEN,204
870,Benin貝南,Africa,1990,53.29,4686518,1205,BJ,BEN,204
875,Benin貝南,Africa,1995,54.43,5632316,1216,BJ,BEN,204
880,Benin貝南,Africa,2000,54.55,6642100,1317,BJ,BEN,204
885,Benin貝南,Africa,2005,55.8,7657434,1414,BJ,BEN,204
890,Benin貝南,Africa,2010,59.32,9199259,1396,BJ,BEN,204
895,Benin貝南,Africa,2015,60.61,10575952,1320,BJ,BEN,204
900,Benin貝南,Africa,2020,62.06,12123200,1150,BJ,BEN,204
905,Benin貝南,Africa,2025,63.54,13897752,1440,BJ,BEN,204
910,Benin貝南,Africa,2030,65.02,15672304,1740,BJ,BEN,204
913,Bolivia玻利維亞,Americas,1950,39.82,2592050,2897,BO,BOL,68
918,Bolivia玻利維亞,Americas,1955,41.3,3160317,2348,BO,BOL,68
923,Bolivia玻利維亞,Americas,1960,42.81,3441046,2160,BO,BOL,68
928,Bolivia玻利維亞,Americas,1965,44.39,3861966,2425,BO,BOL,68
933,Bolivia玻利維亞,Americas,1970,46.04,4355789,2823,BO,BOL,68
938,Bolivia玻利維亞,Americas,1975,48.7,4874178,3321,BO,BOL,68
943,Bolivia玻利維亞,Americas,1980,52.32,5417221,3313,BO,BOL,68
948,Bolivia玻利維亞,Americas,1985,55.89,5950711,2915,BO,BOL,68
953,Bolivia玻利維亞,Americas,1990,58.87,6598618,2878,BO,BOL,68
958,Bolivia玻利維亞,Americas,1995,61.21,7373293,3180,BO,BOL,68
963,Bolivia玻利維亞,Americas,2000,63.15,8144356,3378,BO,BOL,68
968,Bolivia玻利維亞,Americas,2005,64.89,8849545,3659,BO,BOL,68
973,Bolivia玻利維亞,Americas,2010,68.01,10048590,3512,BO,BOL,68
978,Bolivia玻利維亞,Americas,2015,70.28,10869730,2994,BO,BOL,68
983,Bolivia玻利維亞,Americas,2020,71.83,11673021,2410,BO,BOL,68
988,Bolivia玻利維亞,Americas,2025,73.3,12456702,2700,BO,BOL,68
993,Bolivia玻利維亞,Americas,2030,74.77,13240382,2950,BO,BOL,68
996,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1950,51.97,2499735,821,BA,BIH,70
1001,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1955,56.6,3050633,1202,BA,BIH,70
1006,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1960,60.54,3239800,1567,BA,BIH,70
1011,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1965,63.65,3490600,1987,BA,BIH,70
1016,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1970,66.39,3725400,2585,BA,BIH,70
1021,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1975,68.9,3979200,3261,BA,BIH,70
1026,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1980,70.36,4138016,3887,BA,BIH,70
1031,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1985,70.96,4272463,4239,BA,BIH,70
1036,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1990,71.76,4289199,3254,BA,BIH,70
1041,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1995,72.82,3866605,3879,BA,BIH,70
1046,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2000,73.75,3942050,5518,BA,BIH,70
1051,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2005,74.55,4397485,6875,BA,BIH,70
1056,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2010,76.03,3705472,7144,BA,BIH,70
1061,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2015,76.87,3429361,6639,BA,BIH,70
1066,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2020,77.53,3280819,5900,BA,BIH,70
1071,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2025,78.2,3203734,6500,BA,BIH,70
1076,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2030,78.87,3126648,6900,BA,BIH,70
1079,Botswana波札那,Africa,1950,46.82,151043,824,BW,BWA,72
1084,Botswana波札那,Africa,1955,48.82,600873,891,BW,BWA,72
1089,Botswana波札那,Africa,1960,50.76,497514,957,BW,BWA,72
1094,Botswana波札那,Africa,1965,52.59,537230,1122,BW,BWA,72
1099,Botswana波札那,Africa,1970,54.93,593027,1844,BW,BWA,72
1104,Botswana波札那,Africa,1975,58.0,716624,2834,BW,BWA,72
1109,Botswana波札那,Africa,1980,60.62,894797,4017,BW,BWA,72
1114,Botswana波札那,Africa,1985,62.77,1078849,5544,BW,BWA,72
1119,Botswana波札那,Africa,1990,63.1,1266042,7255,BW,BWA,72
1124,Botswana波札那,Africa,1995,56.63,1458967,8370,BW,BWA,72
1129,Botswana波札那,Africa,2000,49.0,1592823,10061,BW,BWA,72
1134,Botswana波札那,Africa,2005,49.09,1635617,11943,BW,BWA,72
1139,Botswana波札那,Africa,2010,60.21,1987105,11451,BW,BWA,72
1144,Botswana波札那,Africa,2015,67.34,2120716,9585,BW,BWA,72
1149,Botswana波札那,Africa,2020,70.2,2351627,7000,BW,BWA,72
1154,Botswana波札那,Africa,2025,72.52,2562984,8400,BW,BWA,72
1159,Botswana波札那,Africa,2030,74.83,2774340,9900,BW,BWA,72
1162,Brazil巴西,Americas,1950,49.97,56311295,1958,BR,BRA,76
1167,Brazil巴西,Americas,1955,52.34,60327637,2336,BR,BRA,76
1172,Brazil巴西,Americas,1960,54.71,71844102,2997,BR,BRA,76
1177,Brazil巴西,Americas,1965,56.85,83245650,3393,BR,BRA,76
1182,Brazil巴西,Americas,1970,58.76,95723964,4363,BR,BRA,76
1187,Brazil巴西,Americas,1975,60.7,108924394,5990,BR,BRA,76
1192,Brazil巴西,Americas,1980,62.6,123103344,6883,BR,BRA,76
1197,Brazil巴西,Americas,1985,64.46,137348021,7497,BR,BRA,76
1202,Brazil巴西,Americas,1990,66.32,150760815,7293,BR,BRA,76
1207,Brazil巴西,Americas,1995,68.46,163518421,7555,BR,BRA,76
1212,Brazil巴西,Americas,2000,70.36,175367215,8062,BR,BRA,76
1217,Brazil巴西,Americas,2005,71.84,185972073,8692,BR,BRA,76
1222,Brazil巴西,Americas,2010,73.62,195713635,9580,BR,BRA,76
1227,Brazil巴西,Americas,2015,74.99,204471769,10436,BR,BRA,76
1232,Brazil巴西,Americas,2020,76.1,212559417,10400,BR,BRA,76
1237,Brazil巴西,Americas,2025,77.18,218205770,11500,BR,BRA,76
1242,Brazil巴西,Americas,2030,78.26,223852122,12000,BR,BRA,76
1245,Bulgaria保加利亞,Europe,1950,56.8,6983635,2219,BG,BGR,100
1250,Bulgaria保加利亞,Europe,1955,63.81,7571074,2783,BG,BGR,100
1255,Bulgaria保加利亞,Europe,1960,68.35,7868269,3756,BG,BGR,100
1260,Bulgaria保加利亞,Europe,1965,70.06,8191314,5048,BG,BGR,100
1265,Bulgaria保加利亞,Europe,1970,70.71,8469810,6189,BG,BGR,100
1270,Bulgaria保加利亞,Europe,1975,70.85,8708693,7206,BG,BGR,100
1275,Bulgaria保加利亞,Europe,1980,70.97,8854068,7979,BG,BGR,100
1280,Bulgaria保加利亞,Europe,1985,71.24,8940014,8234,BG,BGR,100
1285,Bulgaria保加利亞,Europe,1990,71.25,8783887,7078,BG,BGR,100
1290,Bulgaria保加利亞,Europe,1995,70.67,8303037,6103,BG,BGR,100
1295,Bulgaria保加利亞,Europe,2000,71.41,7823502,7006,BG,BGR,100
1300,Bulgaria保加利亞,Europe,2005,72.66,7458434,9487,BG,BGR,100
1305,Bulgaria保加利亞,Europe,2010,73.51,7425008,10267,BG,BGR,100
1310,Bulgaria保加利亞,Europe,2015,74.61,7199741,9578,BG,BGR,100
1315,Bulgaria保加利亞,Europe,2020,75.26,6948445,8500,BG,BGR,100
1320,Bulgaria保加利亞,Europe,2025,76.0,6682597,10500,BG,BGR,100
1325,Bulgaria保加利亞,Europe,2030,76.75,6416749,12500,BG,BGR,100
1328,Burkina Faso布吉納法索,Africa,1950,30.8,4178714,514,BF,BFA,854
1333,Burkina Faso布吉納法索,Africa,1955,33.73,4712986,588,BF,BFA,854
1338,Burkina Faso布吉納法索,Africa,1960,36.65,4837146,680,BF,BFA,854
1343,Burkina Faso布吉納法索,Africa,1965,39.54,5044614,766,BF,BFA,854
1348,Burkina Faso布吉納法索,Africa,1970,42.43,5311506,831,BF,BFA,854
1353,Burkina Faso布吉納法索,Africa,1975,45.12,5707299,788,BF,BFA,854
1358,Burkina Faso布吉納法索,Africa,1980,47.33,6336587,782,BF,BFA,854
1363,Burkina Faso布吉納法索,Africa,1985,48.98,7205769,870,BF,BFA,854
1368,Burkina Faso布吉納法索,Africa,1990,49.98,8361602,924,BF,BFA,854
1373,Burkina Faso布吉納法索,Africa,1995,50.3,9763027,940,BF,BFA,854
1378,Burkina Faso布吉納法索,Africa,2000,50.52,11491863,1001,BF,BFA,854
1383,Burkina Faso布吉納法索,Africa,2005,51.64,13496205,1145,BF,BFA,854
1388,Burkina Faso布吉納法索,Africa,2010,57.1,15605217,1118,BF,BFA,854
1393,Burkina Faso布吉納法索,Africa,2015,59.92,18110624,954,BF,BFA,854
1398,Burkina Faso布吉納法索,Africa,2020,61.99,20903273,700,BF,BFA,854
1403,Burkina Faso布吉納法索,Africa,2025,64.02,24153656,825,BF,BFA,854
1408,Burkina Faso布吉納法索,Africa,2030,66.05,27404039,925,BF,BFA,854
1411,Burundi蒲隆地,Africa,1950,38.43,2154353,323,BI,BDI,108
1416,Burundi蒲隆地,Africa,1955,39.93,2680011,363,BI,BDI,108
1421,Burundi蒲隆地,Africa,1960,41.44,2844156,365,BI,BDI,108
1426,Burundi蒲隆地,Africa,1965,42.95,3183359,390,BI,BDI,108
1431,Burundi蒲隆地,Africa,1970,43.85,3450385,444,BI,BDI,108
1436,Burundi蒲隆地,Africa,1975,45.17,3712642,519,BI,BDI,108
1441,Burundi蒲隆地,Africa,1980,46.85,4282012,558,BI,BDI,108
1446,Burundi蒲隆地,Africa,1985,47.92,4907778,597,BI,BDI,108
1451,Burundi蒲隆地,Africa,1990,46.13,5535951,628,BI,BDI,108
1456,Burundi蒲隆地,Africa,1995,45.09,5996660,531,BI,BDI,108
1461,Burundi蒲隆地,Africa,2000,46.55,6661291,453,BI,BDI,108
1466,Burundi蒲隆地,Africa,2005,48.69,7842734,437,BI,BDI,108
1471,Burundi蒲隆地,Africa,2010,57.23,8675602,375,BI,BDI,108
1476,Burundi蒲隆地,Africa,2015,60.12,10160030,282,BI,BDI,108
1481,Burundi蒲隆地,Africa,2020,61.95,11890784,202,BI,BDI,108
1486,Burundi蒲隆地,Africa,2025,63.69,13831803,255,BI,BDI,108
1491,Burundi蒲隆地,Africa,2030,65.44,15772822,330,BI,BDI,108
1494,Cambodia柬埔寨,Asia,1950,38.64,4402571,342,KH,KHM,116
1499,Cambodia柬埔寨,Asia,1955,40.59,5090949,408,KH,KHM,116
1504,Cambodia柬埔寨,Asia,1960,42.6,5779186,472,KH,KHM,116
1509,Cambodia柬埔寨,Asia,1965,44.62,6609488,513,KH,KHM,116
1514,Cambodia柬埔寨,Asia,1970,42.36,7254390,462,KH,KHM,116
1519,Cambodia柬埔寨,Asia,1975,34.86,7167407,484,KH,KHM,116
1524,Cambodia柬埔寨,Asia,1980,43.06,7154934,585,KH,KHM,116
1529,Cambodia柬埔寨,Asia,1985,52.73,7932069,660,KH,KHM,116
1534,Cambodia柬埔寨,Asia,1990,55.05,9438773,683,KH,KHM,116
1539,Cambodia柬埔寨,Asia,1995,56.24,11129815,713,KH,KHM,116
1544,Cambodia柬埔寨,Asia,2000,56.66,12469209,831,KH,KHM,116
1549,Cambodia柬埔寨,Asia,2005,58.53,13649798,1387,KH,KHM,116
1554,Cambodia柬埔寨,Asia,2010,66.56,14312212,1603,KH,KHM,116
1559,Cambodia柬埔寨,Asia,2015,68.64,15521436,1417,KH,KHM,116
1564,Cambodia柬埔寨,Asia,2020,70.13,16718965,1215,KH,KHM,116
1569,Cambodia柬埔寨,Asia,2025,71.54,17749999,1493,KH,KHM,116
1574,Cambodia柬埔寨,Asia,2030,72.94,18781033,1758,KH,KHM,116
1577,Cameroon喀麥隆,Africa,1950,37.76,4717802,1117,CM,CMR,120
1582,Cameroon喀麥隆,Africa,1955,39.67,5295042,1257,CM,CMR,120
1587,Cameroon喀麥隆,Africa,1960,41.76,5620149,1365,CM,CMR,120
1592,Cameroon喀麥隆,Africa,1965,43.94,6118757,1465,CM,CMR,120
1597,Cameroon喀麥隆,Africa,1970,46.15,6746819,1614,CM,CMR,120
1602,Cameroon喀麥隆,Africa,1975,48.43,7584330,1744,CM,CMR,120
1607,Cameroon喀麥隆,Africa,1980,51.52,8734445,2134,CM,CMR,120
1612,Cameroon喀麥隆,Africa,1985,54.18,10168733,2509,CM,CMR,120
1617,Cameroon喀麥隆,Africa,1990,54.58,11792569,2117,CM,CMR,120
1622,Cameroon喀麥隆,Africa,1995,53.05,13504354,1734,CM,CMR,120
1627,Cameroon喀麥隆,Africa,2000,50.79,15236316,1838,CM,CMR,120
1632,Cameroon喀麥隆,Africa,2005,50.2,16989771,1999,CM,CMR,120
1637,Cameroon喀麥隆,Africa,2010,55.1,20341241,1912,CM,CMR,120
1642,Cameroon喀麥隆,Africa,2015,57.58,23298368,1696,CM,CMR,120
1647,Cameroon喀麥隆,Africa,2020,59.74,26545863,1400,CM,CMR,120
1652,Cameroon喀麥隆,Africa,2025,61.79,30155992,1720,CM,CMR,120
1657,Cameroon喀麥隆,Africa,2030,63.84,33766121,2045,CM,CMR,120
1660,Canada加拿大,Americas,1950,68.27,14494319,10918,CA,CAN,124
1665,Canada加拿大,Americas,1955,69.48,15821045,12041,CA,CAN,124
